wodUrl,wodName,scoreDate,is_rx,notes,time_seconds,reps,load,rounds_completed,partial_reps
https://wodwell.com/wod/mcghee/,McGhee,1681455600000,1,This one is awesome! Did trap bar coz gym is busy,,,,17,20
https://wodwell.com/wod/mogadishu-mile/,Mogadishu Mile,1686985200000,,"40lb kb, runs without KB",1498,,,,
https://wodwell.com/wod/murph-6/,Murph,1716879600000,1,With a vest,3041,,,,
https://wodwell.com/wod/murph-6/,Murph,1685343600000,1,6min PR but I partitioned these as 5/10/15 this time instead of doing sequentially. Done in Mexico City while being oxygen deprived the entire time. Hardest thing I’ve done since starting CrossFit 3 years ago.,3183,,,,
https://wodwell.com/wod/murph-6/,Murph,1665644400000,1,,3592,,,,
https://wodwell.com/wod/nancy/,Nancy,1687762800000,1,Pretty fun!,870,,,,
https://wodwell.com/wod/nasty-girls/,Nasty Girls,1677744000000,1,Tough but I'm happy I can finally do WOD's that include muscle ups,732,,,,
https://wodwell.com/wod/nate/,Nate,1728975600000,1,,,,,11,5
https://wodwell.com/wod/nicole/,Nicole,1682146800000,1,,,96,,,
https://wodwell.com/wod/omar/,Omar,1679295600000,1,,837,,,,
https://wodwell.com/wod/open-12-1/,Open 12.1,1740470400000,1,No target,,96,,,
https://wodwell.com/wod/open-12-1/,Open 12.1,1698822000000,1,,,78,,,
https://wodwell.com/wod/open-13-2/,Open 13.2,1706860800000,1,,,,,5,26
https://wodwell.com/wod/open-13-5/,Open 13.5,1614758400000,,"Worst wod ever? Yup
65# thrusters, jumping c2b",,,,1,30
https://wodwell.com/wod/open-14-2/,Open 14.2,1614153600000,1,"Strict C2B
10x4 first round
12,12,12,11 second
14,14 third",,115,,,
https://wodwell.com/wod/open-14-4/,Open 14.4,1741762800000,1,,,179,,,
https://wodwell.com/wod/open-19-4/,Open 19.4,1701158400000,1,Ran out of time on 2nd round of muscle-ups (did 5),,93,,,
https://wodwell.com/wod/open-21-1/,Open 21.1,1615622400000,1,15:00 cap. Got 9 of the 21 wall walks. Realized that the trick is to properly estimate last 2 hand “steps” by the wall to avoid extra movements. Think about unracking and walking out squat. Broke DU's into 30 and it helped keep HR manageable.,,383,,,
https://wodwell.com/wod/open-21-2/,Open 21.2,1614931200000,1,Finished only last 46 snatches at 20:00. Damn burpees is what killed me.,,206,,,
https://wodwell.com/wod/open-21-3-21-4/,Open 21.4,1616742000000,1,DNF,,135,,,
https://wodwell.com/wod/open-21-3-21-4/,Open 21.4,1742713200000,1,"Did this back in 21 and got 135 reps, no muscle-ups. Retested 4 years later and am now at 155 reps — was able to complete 20 muscle-ups.",,155,,,
https://wodwell.com/wod/open-23-1/,Open 23.1,1676707200000,1,Got a bunch of no reps on t2b so now I know what to work on 🫠,,178,,,
https://wodwell.com/wod/open-23-2/,Open 23.2B,1677312000000,1,"Judged in the official affiliate, CrossFit 954 in Puerto Escondido, Mexico",,108,,3,28
https://wodwell.com/wod/open-24-1/,Open 24.1,1709366400000,1,"🤮 Absolutely atrocious performance, I guess to be expected since I highly dislike burpees. How do I get to sub 10?",733,,,,
https://wodwell.com/wod/open-24-2/,Open 24.2,1709971200000,1,🤮,,540,,9,0
https://wodwell.com/wod/open-24-3/,Open 24.3,1713596400000,1,,,126,,,
https://wodwell.com/wod/open-25-1/,Open 25.1,1740729600000,1,,,172,,,
https://wodwell.com/wod/open-25-2/,Open 25.2,1741420800000,1,,,205,,,
https://wodwell.com/wod/open-25-3/,Open 25.3,1741935600000,1,,1179,,,,
https://wodwell.com/wod/peyton/,Peyton,1688194800000,,Scaled to 35lb and kipping pull-ups. Still hard. 1 mile after in 8:15.,,,,8,5
https://wodwell.com/wod/quarterfinals-24-3/,Quarterfinals 24.3,1713596400000,1,,,126,,5,6
https://wodwell.com/wod/randy/,Randy,1655190000000,1,,760,,,,
https://wodwell.com/wod/rene/,Rene,1693638000000,1,No vest,2026,,,,
https://wodwell.com/wod/riley/,Riley,1686898800000,1,With a 20lb vest,2976,,,,
,Ski 10000m,1725087600000,1,🤮,93,,,,
,Ski 10000m,1686639600000,1,Around the block,425,,,,
,Ski 10000m,1722754800000,1,Brooklyn Mile,403,,,,
https://wodwell.com/wod/ryan/,Ryan,1698994800000,,Bar muscle ups,1113,,,,
https://wodwell.com/wod/schmalls/,Schmalls,1680418800000,1,Last run is ☠️ I was foolish to think I can do this in under 30 min. I think burpees killed me the most.,2050,,,,
https://wodwell.com/wod/shuttle-up/,Shuttle Up,1694674800000,1,,,,,7,5
